codigo,cuentaC,nombre,banco,cuentaB
1.0,11100505.0,BANCOLOMBIA,bancolombia,325-450229-55
2.0,11200505.0,BANCOLOMBIA,bancolombia,325-455868-34
3.0,11200530.0,CONVENIO URABA 11418,bancolombia,645-626385-88
4.0,11200545.0,CONVENIO CHOCO 11419,bancolombia,536-629632-21
5.0,11200558.0,CONVENIO CAUCASIA 11423,bancolombia,371-000005-45
6.0,11200586.0,CONVENIO EJE CAFETERO 11422,bancolombia,859-000119-92
7.0,11200593.0,CONVENIO BOYACA 11421,bancolombia,358-972792-13
8.0,11200598.0,CONVENIO OR OCC 11420,bancolombia,024-470946-09
9.0,11200575.0,RECAUDOS TAT,bancolombia,551-798737-44
10.0,11100510.0,BANCO DE BOGOTA,bogota,538-0393-14
11.0,11100515.0,BANCO DAVIVIENDA CORRIENTE,davivienda,3996699969-73
12.0,11100540.0,7187 DAVIVIENDA,davivienda,399669997187
13.0,11100520.0,COLPATRIA MEDELLIN TAT,colpatria,6921005278
14.0,11200521.0,CAJA SOCIAL AHORROS,caja,24115476024
15.0,11100545.0,CAJA SOCIAL CORRIENTE,caja,21004128844
16.0,11200595.0,BANCO AGRARIO,agrario, 4-1331-301395-5
17.0,11200524.0,BOGOTA (CALI POPAYAN),bogota,538-1765-87
